Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Jocelyn Raoux Aimé 2020,Aimé,Lirac,France,Jocelyn Raoux,Southern Rhône,Red,2020,4.2,16,EUR,Bottle (0.75l)
Château Bellevue La Forêt Optimum Fronton 2019,Optimum Fronton,Fronton,France,Château Bellevue La Forêt,Southwest France,Red,2019,4,16,EUR,Bottle (0.75l)
Domaine de l'Odylée La Généreuse Côtes-du-Rhône 2020,La Généreuse Côtes-du-Rhône,Côtes-du-Rhône,France,Domaine de l'Odylée,Southern Rhône,Red,2020,4.2,16,EUR,Bottle (0.75l)
Château Jaugue Blanc Saint-Émilion Grand Cru 2016,Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Jaugue Blanc,Bordeaux Right Bank,Saint-Émilion,2016,4,16,EUR,Bottle (0.75l)
Domaine de Lathevalle Morgon 'Les Charmes' 2018,Morgon 'Les Charmes',Morgon,France,Domaine de Lathevalle,Beaujolais,Red,2018,4.1,16,EUR,Bottle (0.75l)
Domaine Sol Payré Imo Pectore du Fond du Coeur 2022,Imo Pectore du Fond du Coeur,Côtes du Roussillon,France,Domaine Sol Payré,Languedoc-Roussillon,Red,2022,4.2,16,EUR,Bottle (0.75l)
Mas del Périé - Fabien Jouves NDD-GCHM 2021,NDD-GCHM,Vin de France,France,Mas del Périé - Fabien Jouves,French,Red,2021,4,16,EUR,Large Bottle (1.0 l)
Dourbie Joseph Carignan 2022,Joseph Carignan,Hérault,France,Dourbie,Languedoc-Roussillon,Red,2022,4.1,16,EUR,Bottle (0.75l)
Domaine Marcel Joubert Chiroubles 2021,Chiroubles,Chiroubles,France,Domaine Marcel Joubert,Beaujolais,Red,2021,4,16,EUR,Bottle (0.75l)
Mas des Chimères L'Hérétique Coteaux du Salagou 2019,L'Hérétique Coteaux du Salagou,Hérault,France,Mas des Chimères,Languedoc-Roussillon,Red,2019,4.1,16,EUR,Bottle (0.75l)
Chaume Arnaud Vinsobres 2020,Vinsobres,Vinsobres,France,Chaume Arnaud,Southern Rhône,Red,2020,4.1,16,EUR,Bottle (0.75l)
Murua VS Murua 2021,VS Murua,Rioja,Spain,Murua,Spanish,Rioja Red,2021,4,16,EUR,Bottle (0.75l)
Le Mas des Flauzières Four Danuga Gigondas 2021,Four Danuga Gigondas,Gigondas,France,Le Mas des Flauzières,Southern Rhône,Red,2021,4,16,EUR,Bottle (0.75l)
